calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
 HD,HP,"Portátil HP 250 G7, Nuevo, ,Intel i3-1005G1 (1.2GHz), 15.6"" HD AG LED, 8GB RAM, SSD 512 GB PCIe NVMe, WIFI, Bluetooth, FreeDOS, 1 año de garantía (Español)"," 1,78 kg","448,24 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,HP,"Portátil HP 250 G7,,Intel i3-1005G1 (1.2GHz), 15.6"" FHD AG LED, 8GB RAM, SSD 256GB PCIe NVMe, Sin unidad óptica, WIFI, Bluetooth, Webcam, FreeDOS, 1 año de garantía (Español) - -Km.0-"," 1,78 kg","393,79 €"," 39,6 cm (15.6"")", FreeDOS
,HP,"Portátil HP 15-dw0005ns,,Intel i3 8130U, RAM 8 GB, 256 GB SSD, FreeDOS / Sin Sistema Operativo, 2 Años de Garantía (Español) - -Km.0-"," 1,74 kg","381,69 €",,
 No indicado,Dell,"Portátil DELL Latitude E7250, - Marcas de Uso -- Intel i5 5300U, 2,3 GHz, Pantalla (12.5""), RAM 8 GB , SSD 256 GB, Lector DNI, Lector Huellas, Teclado Español, 3G y 4G - Windows 10 Pro - 1 Año de Garantía - Producto USADO (Español) - -Km.0-", No indicado,"375,64 €"," 31,8 cm (12.5"")", Windows 10 Pro
 HD,HP,"Portátil HP EliteBook 820 G2, i5-5200U, 8 GB DDR3L-SDRAM, SSD 128 GB + flash, 31,8 cm (12.5"") 1366 x 768 Pixeles, Wi-Fi 5 (802.11ac), Windows 10 Pro, Garantía 1 año -- Teclado con pegatinas en Español -- (Español) - -Km.0-"," 1,34 kg","369,59 €"," 31,8 cm (12.5"")", Windows 7 Professional
Full HD,HP,,"1,69 kg","599,49 €","39,6 cm (15.6"")",Windows 10 Home
 Full HD,Lenovo,"Portátil Lenovo ThinkPad E14 - Procesador i7-1165G7 - Memoria RAM 16 GB - SSD 512 GB - Gráfica Intel Iris Graphics - Pantalla 14"" - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 1 año (Español)"," 1,64 kg","1 075,24 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,HP,"Portátil HP 250 G7, Intel i5-1035G1 (1.0GHz), 15.6"" FHD AG LED, 8GB RAM, SSD 256GB PCIe NVMe, DVDRW, WIFI, Bluetooth, Windows 10 Home, 1 año de garantía (Español) - -Km.0-"," 1,78 kg","599,49 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP Laptop 14s-dq1015ns, Intel i5-1035G1(1.0GHz), 14.0"" FHD LED, 8GB RAM, SSD 256GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,46 kg","563,19 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,"Portátil HP 250 G7, Intel i3-8130U (2.2GHz), 15.6"" FHD AG LED, 8GB RAM, SSD 256GB PCIe NVMe, DVDRW, WIFI, Bluetooth, Windows 10 Home, 1 año de garantía (Español) - -Km.0-"," 1,78 kg","484,54 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP OMEN 15-en0011ns, RYZEN7-4800H (2.9GHz), 16GB RAM (2x8GB), SSD 512GB, NVIDIA GeForce RTX 2060 6GB, Pantalla 15.6"" FHD, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, Garantía 2 años (Español) - -Km.0-"," 2,37 kg","1 089,54 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Lenovo,"Portátil Lenovo ThinkBook 15 - Procesador i7-1065G7 - Memoria RAM 16 GB - SSD 512 GB - Gráfica Intel Iris Plus Graphics - Pantalla 15.6"" - Resolución 1920 x 1080 Pixeles - Sin unidad óptica - Windows 10 Pro - Garantía 1 año (Español)"," 1,8 kg","987,15 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Huawei,"Portátil 14"" Huawei Matebook D 14 - Procesador i5-10210U - RAM 8 GB - SSD 512 GB - Resolución 1920 x 1080 Pixeles - NVIDIA GeForce MX250 - Windows 10 Home (Español)"," 1,38 kg","741,77 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,"Portátil HP EliteBook 840 G7 - Procesador i7-10510U - Memoria RAM 16 GB - SSD 512 GB - Gráfica Intel UHD Graphics - Pantalla 14"" - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 3 años (Español)"," 1,33 kg","1 722,07 €"," 35,6 cm (14"")", Windows 10 Pro
 No indicado,HP,"Portátil Portátil HP 250 G7 - FreeDOS - Procesador i3-1005G1 - Memoria RAM 8 GB - SSD 256 GB - Gráfica Intel UHD Graphics - Pantalla 15.6"" - Resolución 1920 x 1080 Pixeles - FreeDOS - Garantía 1 año (Español)", No indicado,"432,84 €"," 39,6 cm (15.6"")", No
 Full HD+,Dell,"Portátil DELL XPS 15 9500, 15.6"" , Intel Core i5-10300H , 8GB , 512GB SSD, Intel UHD, AX1650 Killer Wireless + Bluetooth, Win 10 Pro, Plateado, 1 año de ProSupport (Español)"," 2,05 kg","1 743,26 €"," 39,6 cm (15.6"")", Windows 10 Pro
 No indicado,Apple,"Portátil Apple MacBook Pro, Apple M, Pantalla 33,8 cm (13.3""), Resolucíon 2560 x 1600 Pixeles, 8 GB RAM, SSD 512 GB, macOS Big Sur (Español)"," 1,4 kg","1 587,41 €"," 33,8 cm (13.3"")", macOS Big Sur
 Full HD,Lenovo,"Lenovo ThinkBook V15 IIL, (15.6"") 1920 x 1080 Pixeles, Intel i5-1035G1, RAM 8 GB DDR4-SDRAM , 256 GB SSD, Wi-Fi 5 (802.11ac) , Windows 10 Pro (Español)"," 1,85 kg","665,75 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,"Portátil para Gaming HP OMEN 15-ek0018ns, Pantalla (15.6"") 1920 x 1080 Pixeles, Intel Core i7-10750H - 16 GB DDR4-SDRAM - 1000 GB SSD - NVIDIA GeForce RTX 2060 - Wi-Fi 6 (802.11ax) - FreeDOS (Español)"," 2,36 kg","1 393,64 €"," 39,6 cm (15.6"")", FreeDOS
 HD,HP,"Portátil HP 15s-fq1124ns, i5-1035G1(1.0GHz), Pantalla 15.6"" HD LED, 8GB RAM, SSD 256GB PCIe NVME,Sin unidad óptica, WIFI, Bluetooth, Webcam, FREEDOS (Sin Windows), Garantía 2 años (Español) - -Km.0-"," 1,69 kg","484,54 €"," 39,6 cm (15.6"")", FreeDOS
 HD,Dell,"DELL Latitude E7270, Intel Core I5 6300, 31,8 cm (12.5""), 1366 x 768 Pixeles, RAM 8 GB, SSD 512GB, Lctr.DNI/SIM, Windows 10 Pro, Garantía 1 año (Español) - -Km.0-"," 1,25 kg","418,64 €"," 31,8 cm (12.5"")", Windows 10 Pro
 Full HD,Asus,"Portátil ASUS F509JB-EJ003T,-,- Intel Core i5-1035G1 (1 GHz), Pantalla 15.6"" FHD (1920 x 1080 Pixeles), 8GB RAM, 512GB SSD, NVIDIA GeForce MX110, Wifi, Bluetooth, Windows 10 Home, 1 año de garantía (Español) - -Km.0-"," 1,9 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10
 Full HD,HP,"Portátil HP ProBook x360 440 G1,,Intel i5-7200U(2.5GHz), 14.0"" FHD LED Táctil, 8GB RAM, SSD 256GB PCIe NVMe, WIFI, Bluetooth, Webcam, Lector de huellas, Windows 10 Pro, 1 año de garantía (Italiano) - -Km.0-"," 1,72 kg","514,79 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Msi,"Portátil MSI Gaming GF63 10SCSR-876XES Thin - Procesador i7-10750H - Memoria RAM 16 GB - SSD 1000 GB - Gráfica NVIDIA GeForce GTX 1650 Ti - Pantalla 15.6""- Resolución 1920 x 1080 Pixeles - FreeDOS (Sin Windows) - Garantía 1 año (Español)"," 1,86 kg","963,05 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,HP,"Portátil HP EliteBook 840 G6, Intel i5-8265U (1.6GHz), 14.0"" FHD AG LED, 8GB RAM, SSD 256GB PCIe NVMe, WIFI, Bluetooth, Webcam, Lector de huellas, Teclado retroiluminado, Windows 10 Pro, 3 años de garantía (Español) - -Km.0-"," 1,48 kg","847,54 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,HP,"HP 250G8 Intel i5-1135G7, Win 10 Home, 8 GB RAM, 256 GB SSD NVMe, 15.6"" TN 1920 x 1080 (Full HD) , Wi-Fi, Bluetooth, 1 Año de Garantía (Español)", No indicado,"678,98 €"," 39,6 cm (15.6"")", No
 Full HD,HP,"Portátil HP EliteBook 830 G7 - Procesador i5-10210U - Memoria RAM 8 GB - SSD 256 GB - Gráfica Intel UHD Graphics - Pantalla 13.3"" - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 3 años (Español)"," 1,23 kg","1 349,15 €"," 33,8 cm (13.3"")", Windows 10 Pro
 Full HD,HP,"Pantalla (15.6"") 1920 x 1080 Pixeles, Intel Core i3-1115G4, RAM 8 GB, 256 GB SSD, Wi-Fi 5 (802.11ac), Windows 10 Home, 1 Año de Garantía (Español)"," 1,74 kg","591,12 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Msi,"Portátil MSI Gaming GF63 10SCSR-835ES Thin - Procesador i7-10750H - Memoria RAM 16 GB - SSD 1000 GB - Gráfica NVIDIA GeForce GTX 1650 Ti - Pantalla 15.6"" - Resolución 1920 x 1080 Pixeles - Windows 10 Home - Garantía 1 año (Español)"," 1,86 kg","1 216,05 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP EliteBook 850 G7 - Procesador i5-10210U - Memoria RAM 8 GB - SSD 256 GB - Gráfica Intel UHD Graphics - Pantalla 15.6"" - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 3 años (Español)"," 1,67 kg","1 349,10 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Msi,"Portátil MSI Bravo 15 A4DDR-219XES - Procesador Ryzen5-4600H - Memoria RAM 16 GB - SSD 512 GB - Gráfica AMD Radeon - Pantalla 15.6"" - Resolución 1920 x 1080 Pixeles - FreeDOS - Garantía 1 año (Español)"," 1,96 kg","812,10 €"," 39,6 cm (15.6"")", No
,HP,Portátil HP Probook 450 G8 - Intel Core i5-1135G7 - 8GB RAM - SSD 256GB - Windows 10 Pro - 1 Año de Garantía (Español),,"914,13 €",,
 Full HD,Msi,"Portátil MSI Alpha 15 A4DEK-006XES - Procesador Ryzen7-4800H - Memoria RAM 16 GB - SSD 512 GB - Pantalla 15.6"" - Gráfica AMD Radeon - Resolución 1920 x 1080 Pixeles - FreeDOS (Sin windows) - Grantía 1 año (Español)"," 2,4 kg","1 013,52 €"," 39,6 cm (15.6"")", No
 Full HD,Asus,"Portátil ASUS ZenBook Flip 13 UX363EA-HP043T, Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Pantalla 13.3"" táctil Full HD, Intel Iris Xe Graphics, Windows 10 Home (Español)"," 1,3 kg","1 251,42 €"," 33,8 cm (13.3"")", Windows 10 Home
 Full HD,HP,"Portátil HP 340S G7 - i5-1035G1 - 8 GB RAM - 256 GB SSD - 14"" - Intel UHD Graphics - 1920 x 1080 Pixeles - Windows 10 Pro- Garantía 1 año (Español)"," 1,47 kg","715,13 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Lenovo,"Portátil Lenovo ThinkPad E15 - Procesador i5-1135G7 - Memoria RAM 16 GB - SSD 512 GB - Pantalla 15.6"" - Gráfica Intel Iris Xe Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 1 año (Español)"," 1,7 kg","949,40 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Lenovo,"Portátil Lenovo ThinkBook 14 - Procesador i5-1135G7 - Memoria RAM 16 GB - SSD 512 GB - Pantalla 14"" - Gráfica Intel Iris Xe Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 1 año (Español)"," 1,4 kg","914,87 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Lenovo,"Portátil Lenovo ThinkBook 15 - Procesador i5-1135G7 - Memoria RAM 16 GB - SSD 512 GB - Pantalla 15.6"" - Gráfica Intel Iris Xe Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 1 año (Español)"," 1,7 kg","914,87 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,"Portátil HP EliteBook 840 G7 Ultraportátil - Procesador i5-10210U - Memoria RAM 16 GB - SSD 512 GB - Pantalla 14"" - Gráfica Intel UHD Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 3 años (Español)"," 1,33 kg","1 601,70 €"," 35,6 cm (14"")", Windows 10 Pro
 WUXGA,Asus,"Portátil ASUS ProArt StudioBook Pro 17 W700G3T-AV093R - Procesador i7-9750H - Memoria RAM 32 GB - SSD 1000 GB - Pantalla 17"" - Gráfica NVIDIA Quadro RTX 3000 Max-Q - Resolución 1920 x 1200 Pixeles - Windows 10 Pro - Garantía 2 años (Español)"," 2,39 kg","3 151,60 €"," 43,2 cm (17"")", Windows 10 Pro
 Full HD,Lenovo,"Portátil Lenovo ThinkPad E15 - Procesador i5-1135G7 - Memoria RAM 8 GB - SSD 256 GB - Pantalla 15.6"" - Gráfica Intel Iris Xe Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 1 año (Español)"," 1,7 kg","838,99 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Lenovo,"Portátil Lenovo ThinkBook 14s Yoga Híbrido (2-en-1) - Procesador i5-1135G7 - Memoria RAM 8 GB - SSD 256 GB - Pantalla 14"" táctil - Gráfica Intel Iris Xe Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 1 año (Español)"," 1,5 kg","982,12 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,HP,"Portátil HP EliteBook 830 G7 - Procesador i5-10210U - Memoria RAM 16 GB - SSD 512 GB - Pantalla 13.3"" - Gráfica Intel UHD Graphics - Resolución 1920 x 1080 Pixeles - Windows 10 Pro - Garantía 3 años (Español)"," 1,23 kg","1 526,85 €"," 33,8 cm (13.3"")", Windows 10 Pro
 Full HD,HP,"Portátil HP ZBook 15v G5, i7-9750H, 8 GB RAM, Disco SSD 256 GB, NVIDIA Quadro P620, Pantalla 15.6"", Windows 10 Pro (Español)"," 2,14 kg","1 187,65 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,"HP ENVY Laptop 13-ba0000ns Notebook, Intel i5-10210U(1.6GHz), Nvidia GeForce MX350 2GB, 8GB, 13.3"" FHD BV LED, SSD 512GB PCIe NVME, Sin DVD, WIFI, Bluetooth, Webcam, Teclado Retroiluminado, Windows 10 Home, 2 Años Garantía (Español) - -Km.0-"," 1,3 kg","805,19 €"," 33,8 cm (13.3"")", Windows 10 Home
 4K Ultra HD,HP,"Portátil HP Spectre x360 Conv 15-eb0000ns, Intel i7-10750H (2.6GHz), NVIDIA GeForce GTX 1650Ti 4GB, 16GB RAM, 15.6"" 4K UHD LED Táctil, SSD 1TB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Teclado retroiluminado, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 2,45 kg","1 452,54 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP Pavilion Laptop 15-cs3001ns, Intel i7-1065G7 (1.3GHz), NVIDIA GeForce GT1050 3GB, 15.6"" FHD LED, 16GB RAM, SSD 1TB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Teclado retroiluminado, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,85 kg","1 016,94 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP Pavilion x360 14-dw1005ns - Procesador i3-1115G4 - Memoria RAM 8 GB - SSD 256 GB - Gráfica Intel UHD Graphics - Pantalla 14"" - Resolución 1920 x 1080 Pixeles - Windows 10 Home - Garantía 2 años (Español)"," 1,61 kg","599,49 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,Acer,"Portátil Acer Aspire 5 , AMD Ryzen 5, 16 GB RAM, 1TB SSD, Pantalla 15.6"" FHD (1920 x 1080 Pixeles), Sin unidad óptica, Intel UHD Graphics, Wifi, Bluetooth, Windows 10 Home, 1 año de garantía (Español) - -Km.0-"," 1,9 kg","599,49 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Acer,"Portátil Acer Aspire 3 A315-34-C6U0, Intel i7-10510U, 8GB RAM, SSD 512GB, 15.6"" FHD (1920 x 1080), Intel UHD Graphics 620, Wifi, Bluetooth, Windows 10 Home, 1 años de garantía (Español) - -Km.0-"," 1,9 kg","599,49 €"," 39,6 cm (15.6"")", Windows 10 Home
,Acer,"Portátil Acer Extensa 215-52, Intel I5-1035G1 (1 GHz), 8GB RAM, 256GB SSD, 15.6"" FHD (1920 x 1080), Intel UHD Graphics, Wifi, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español)",,"599,49 €",,
 Full HD,Acer,"Portátil Acer Extensa 15 EX215-52, Intel Core i3-1005G1 (1,2 GHz), Pantalla 15.6"" FHD (1920 x 1080 Pixeles), 8GB RAM, 256GB SSD, Sin unidad óptica, Wi-Fi, Bluetooth, Windows 10 Home S, 2 años de garantía (Español)"," 1,9 kg","599,49 €"," 39,6 cm (15.6"")", Windows 10 Home S
 HD,Lenovo,"Portátil Lenovo V V14, Intel Core i5-1035G1 (1 GHz), Pantalla 14"" HD (1366 x 768 Pixeles), 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, Windows 10 Home, 1 año de garantía (Español)"," 1,6 kg","593,44 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,"Portátil HP Laptop 15s-fq1076ns, Intel i5-1035G1(1.0GHz), 15.6"" FHD LED, 8GB RAM, SSD 512GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,69 kg","593,44 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP ProBook 430 G7, Intel i7-10510U (1.8GHz), 13.3"" FHD AG LED, 8GB RAM, SSD 512GB PCIe NVMe, WIFI, Bluetooth, Webcam, Lector de huellas, FreeDOS, 1 año de garantía (Español) - -Km.0-"," 1,49 kg","592,90 €"," 33,8 cm (13.3"")", FreeDOS
 Full HD,Lenovo,"Portátil Lenovo IdeaPad Flex 5 - Incluye Lápiz, Procesador Intel Core i5-1035G1 - Memoria RAM 8 GB - SSD 256 GB Pantalla 14"" táctil - Resolución 1920 x 1080 Pixeles - Windows 10 Home- Garantía 1 año - Km. 0 - (Español) - -Km.0-"," 1,5 kg","581,34 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,Asus,"Portátil ASUS ZenBook 13 UX333FA-A3070T, Intel i5-8265U, 8GB RAM, 256GB SSD, 13--- FHD (1920X1080), Intel UHD Graphics 620, Windows 10 Home, 1 año de garantía (Español) - -Km.0-", No indicado,"581,34 €"," 33,8 cm (13.3"")", Windows 10 Home
 Full HD,Lenovo,"Portátil Lenovo Yoga S730-13IWL, Intel i5-8265U, 8GB RAM, 256GB SSD M2, 13"" FHD, Windows 10 Home, 1 año de garantía (Español) - -Km.0-"," 1,1 kg","580,13 €"," 33,8 cm (13.3"")", Windows 10 Home
 Full HD,Dell,"Portátil DELL Vostro 3501, Intel Core i3-1005G1 (1,2 GHz), Pantalla FHD 15.6"" (1920 x 1080 Pixeles), 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, Color negro, Windows 10 Pro, 1 año de garantía (Español)"," 1,9 kg","575,29 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,"Portátil HP Laptop 15s-eq0031ns, AMD RYZEN5-3500U (2.1GHz), 15.6"" FHD LED, 8GB RAM, SSD 512GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,74 kg","575,29 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP 15s-fq1073ns,,Intel Core i5-1035G1 (1 GHz), Pantalla 15.6"" FHD (1920 x 1080 Pixeles), 12GB RAM, 1TB SSD, Wifi, Bluetooth, FreeDOS, 2 años de garantía (Español) - -Km.0-"," 1,69 kg","575,29 €"," 39,6 cm (15.6"")", FreeDOS
Full HD,HP,,"1,74 kg","569,24 €","39,6 cm (15.6"")",Windows 10 Home
 Full HD,HP,"Portátil HP Laptop 15s-eq0031ns, Desprecintado, AMD RYZEN5-3500U (2.1GHz), 15.6"" FHD LED, 8GB RAM, SSD 512GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,74 kg","569,24 €"," 39,6 cm (15.6"")", Windows 10 Home
,Asus,"Portátil ASUS ZenBook 14 UM431DA-AM011T, AMD R5, RAM 8 GB, 512 GB SSD, Radeon Vega 8, Windows 10 Home, 1 Año de Garantía (Español) - -Km.0-"," 1,39 kg","568,03 €",,
 HD,Lenovo,"Portátil Lenovo V V15 Pantalla 15.6"" - Resolución 1366 x 768 Pixeles - Procesador i5-1035G1 - Memoria RAM 8 GB - 256 GB SSD - FreeDOS (Sin Windows), Garantía 1 año (Español)"," 1,85 kg","563,19 €"," 39,6 cm (15.6"")", No
 Full HD,HP,"Portátil HP 255 G7, AMD Ryzen 5-3500U (2,1 GHz), Pantalla 15.6"" FHD (1920 x 1080 Pixeles), 8GB RAM, 256GB SSD, Wi-Fi 5, Bluetooth, Windows 10 Pro, 1 año de garantía (Español)"," 1,78 kg","563,19 €"," 39,6 cm (15.6"")", Windows 10 Pro
 HD,HP,"Portátil HP Laptop 14-dk0009ns, AMD RYZEN5-3500U (2.1GHz), 14.0"" HD LED, 8GB RAM, SSD 512GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam,Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,47 kg","557,14 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,"Portátil HP 250 G8 - NUEVO - Pantalla (15.6"") 1920 x 1080 Pixeles - Intel Core i3-1115G4 - RAM 8 GB - 256 GB SSD -Wi-Fi 5 (802.11ac) - Windows 10 Home - 1 Año de Garantía (Español)"," 1,74 kg","552,30 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,Lenovo,"Portátil Lenovo V15-IIL, Intel Core i3-1005G1, 8GB RAM DDR4, 256GB NVMe, 15.6"" HD, Intel UHD Graphics, WiFi, Bluetooth, Color gris, Windows 10 Home, 1 año de garantía (Español)"," 1,78 kg","506,32 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,Lenovo,"Portátil Lenovo V V15,,AMD Athlon 3020E, Pantalla 15.6"" HD (1366 x 768 Pixeles), RAM 8 GB, SSD 256 GB, Wi-Fi, Bluetooth, FreeDos, 1 año de garantía (Español)"," 1,85 kg","363,54 €"," 39,6 cm (15.6"")", No
 HD,HP,"Portátil HP Laptop 15s-fq1000ns, Intel i5-1035G1(1.0GHz), 15.6"" HD LED, 8GB RAM, SSD 256GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,69 kg","538,99 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,HP,"Portátil HP ProBook 640 G4,,Intel i5-8350U (1.7GHz), 14.0"" HD AG LED, 8GB RAM, SSD 256GB PCIe NVMe, WIFI, Bluetooth, Webcam, Windows 10 Pro, 1 año de garantía (Español)"," 1,73 kg","749,53 €"," 35,6 cm (14"")", Windows 10 Pro
 HD,HP,"Portátil HP 15s-fq1137ns, Intel Core i3-1005G1U (1,2 GHz), Pantalla 15.6"" HD (1366 x 768 Pixeles), 8GB RAM, 256GB SSD, Wifi, Bluetooth, Windows 10 Home S, 2 años de garantía (Español)"," 1,69 kg","505,11 €"," 39,6 cm (15.6"")", Windows 10 Home S
,Lenovo,"Portátil Lenovo IdeaPad 3 15ADA05,,AMD A4-3020E, 8GB RAM, 128GB SSD, 15.6 "" FHD (1920X1080), Wifi, Bluetooth, Webcam, FreeDOS, 2 años de garantía (Español) - -Km.0-", 1.85 kg,"333,29 €"," 15.6""",
