modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
MSI Prestige 15,MSI,15.0,Full-HD,Windows 10 Home,1349.0,NA,NA
MSI GF65 Thin 10UE-033ES,MSI,15.0,Full-HD,Windows 10 Home,1584.0,NA,NA
MSI Creator 17 A10SGS-624ES,MSI,17.0,UHD 4K,Windows 10 Pro,3999.0,NA,NA
MSI GP76 LEOPARD 10UE-060ES,MSI,17.0,Full-HD,Windows 10 Home,1949.0,NA,NA
MSI Modern 14 A10RAS,MSI,14.0,Full-HD,FreeDOS (Sin sistema operativo),1199.0,NA,NA
ROG GV301QH-K6069T,ASUS,13.0,WUXGA,Windows 10 Home,1599.0,NA,NA
MSI GP66 Leopard 10UG-064ES,MSI,15.0,Full-HD,Windows 10 Home,1889.0,NA,NA
Surface Laptop 3,MICROSOFT,15.0,HD,Windows 10 Home,1299.0,NA,NA
HP 14-ea0002ns,HEWLETT PACKARD,13.0,WQXGA,Windows 10 Home,1274.0,NA,NA
Switch 3 SW312-31-C4P6,NA,NA,NA,NA,NA,1.25,199.65
Laptop 15s-fq1072ns,NA,NA,NA,NA,NA,1.69,496.64
F409FA-EK247T. Intel Core i3 8145U. RAM 8 GB. 512 GB SSD,NA,NA,NA,NA,NA,1.6,471.23
VivoBook 15 S512JA-BQ1028,NA,NA,NA,NA,NA,1.8,461.55
ThinkPad T460,NA,NA,NA,NA,NA,1.73,454.29
15-dw0005ns,NA,NA,NA,NA,NA,1.74,381.69
Latitude E7250,NA,NA,NA,NA,NA,NA,375.64
EliteBook 820 G2,NA,NA,NA,NA,NA,1.34,369.59
NA,NA,NA,NA,NA,NA,1.69,599.49
ThinkPad E14,NA,NA,NA,NA,NA,1.64,1075.24
250 G7,NA,NA,NA,NA,NA,1.78,599.49
Laptop 14s-dq1015ns,NA,NA,NA,NA,NA,1.46,563.19
OMEN 15-en0011ns,NA,NA,NA,NA,NA,2.37,1089.54
ThinkBook 15,NA,NA,NA,NA,NA,1.8,987.15
Matebook D 14,NA,NA,NA,NA,NA,1.38,741.77
EliteBook 840 G7,NA,NA,NA,NA,NA,1.33,1722.07
XPS 15 9500,NA,NA,NA,NA,NA,2.05,1743.26
MacBook Pro,NA,NA,NA,NA,NA,1.4,1587.41
ThinkBook V15 IIL,NA,NA,NA,NA,NA,1.85,665.75
OMEN 15-ek0018ns,NA,NA,NA,NA,NA,2.36,1393.64
15s-fq1124ns,NA,NA,NA,NA,NA,1.69,484.54
Latitude E7270,NA,NA,NA,NA,NA,1.25,418.64
F509JB-EJ003T,NA,NA,NA,NA,NA,1.9,532.94
ProBook x360 440 G1,NA,NA,NA,NA,NA,1.72,514.79
Gaming GF63 10SCSR-876XES Thin,NA,NA,NA,NA,NA,1.86,963.05
EliteBook 840 G6,NA,NA,NA,NA,NA,1.48,847.54
250G8 Intel i5-1135G7,NA,NA,NA,NA,NA,NA,678.98
